Time,Dissipation Rate Incompressible,Dissipation Rate Compressible,Ekin incomp,Ekin comp,Enstrophy comp,DR_u,DR_S,DR_Sd,DR_p,Maximum Vorticity,Mean Temperature,uprime,Mean Entropy,ED_S,ED_D
0.10431438804271E+00001, 0.52376728499782E-00003, 0.49493557190627E-00003, 0.12452866450450E+00000, 0.12450953439477E+00000, 0.41907169524058E+00000, 0.52376614487785E-00003, 0.52376728499782E-00003, 0.52376652491784E-00003, -.28830953011568E-00004, 0.15455115716879E+00001, 0.10000031341752E+00001, 0.28813036922488E+00000, -.10671747710866E+00002, 0.52376500475789E-00003, 0.15201599644473E-00008
0.10738212002029E+00001, 0.52733478732987E-00003, 0.50078410420711E-00003, 0.12451408177233E+00000, 0.12449426799879E+00000, 0.42192860079508E+00000, 0.52733406536077E-00003, 0.52733478732987E-00003, 0.52733430601716E-00003, -.26550201810047E-00004, 0.15232974003042E+00001, 0.10000032411874E+00001, 0.28811349820551E+00000, -.10671747938076E+00002, 0.52733334339172E-00003, 0.96262543608883E-00009
0.11044960817778E+00001, 0.53103257375885E-00003, 0.50797416937677E-00003, 0.12449914092928E+00000, 0.12447879672736E+00000, 0.42488815110319E+00000, 0.53103230808722E-00003, 0.53103257375885E-00003, 0.53103239664444E-00003, -.23058227267668E-00004, 0.15009048366439E+00001, 0.10000033438162E+00001, 0.28809621185671E+00000, -.10671748166853E+00002, 0.53103204241559E-00003, 0.35422884716270E-00009
0.11351683831062E+00001, 0.53486468101536E-00003, 0.51367763502827E-00003, 0.12448416296940E+00000, 0.12446311929314E+00000, 0.42795408853013E+00000, 0.53486454349449E-00003, 0.53486468101536E-00003, 0.53486458933483E-00003, -.21186954306565E-00004, 0.14783887012296E+00001, 0.10000034432738E+00001, 0.28807888152310E+00000, -.10671748397260E+00002, 0.53486440597364E-00003, 0.18336117375961E-00009
0.11658381460280E+00001, 0.53883394776860E-00003, 0.51418404564137E-00003, 0.12446943618732E+00000, 0.12444734256456E+00000, 0.43113042100503E+00000, 0.53883369867484E-00003, 0.53883394776860E-00003, 0.53883378170611E-00003, -.24649736064748E-00004, 0.14557733773977E+00001, 0.10000035453004E+00001, 0.28806184079965E+00000, -.10671748629364E+00002, 0.53883344958110E-00003, 0.33212501194580E-00009
0.11965055989926E+00001, 0.54294253828528E-00003, 0.51243444980066E-00003, 0.12445494851145E+00000, 0.12443160622932E+00000, 0.43441889460813E+00000, 0.54294171651567E-00003, 0.54294253828528E-00003, 0.54294199043886E-00003, -.30507540638203E-00004, 0.14330669365901E+00001, 0.10000036540612E+00001, 0.28804507576818E+00000, -.10671748863217E+00002, 0.54294089474609E-00003, 0.10956928041419E-00008
0.12271709606895E+00001, 0.54719003501150E-00003, 0.51604814631336E-00003, 0.12444029305906E+00000, 0.12441585463869E+00000, 0.43781898279399E+00000, 0.54718883770256E-00003, 0.54719003501150E-00003, 0.54718923680553E-00003, -.31141090492175E-00004, 0.14102887019690E+00001, 0.10000037672033E+00001, 0.28802811559413E+00000, -.10671749098872E+00002, 0.54718764039362E-00003, 0.15964119092800E-00008
0.12578341394717E+00001, 0.55157683397122E-00003, 0.52458574444378E-00003, 0.12442506074316E+00000, 0.12439990618451E+00000, 0.44133040749628E+00000, 0.55157602416005E-00003, 0.55157683397122E-00003, 0.55157629409714E-00003, -.26990549653362E-00004, 0.13881830863576E+00001, 0.10000038784306E+00001, 0.28801048678033E+00000, -.10671749336393E+00002, 0.55157521434883E-00003, 0.10797482605404E-00008
0.12884944194680E+00001, 0.55610718492636E-00003, 0.53370346078294E-00003, 0.12440927597473E+00000, 0.12438368031753E+00000, 0.44495527387955E+00000, 0.55610684626348E-00003, 0.55610718492636E-00003, 0.55610695915113E-00003, -.22403498368187E-00004, 0.13673776206023E+00001, 0.10000039844445E+00001, 0.28799221745819E+00000, -.10671749575841E+00002, 0.55610650760058E-00003, 0.45155053643687E-00009
0.13191518205747E+00001, 0.56078548882553E-00003, 0.54101432524645E-00003, 0.12439330878833E+00000, 0.12436719908364E+00000, 0.44869765983911E+00000, 0.56078533610817E-00003, 0.56078548882553E-00003, 0.56078538701399E-00003, -.19771061767532E-00004, 0.13478555224998E+00001, 0.10000040879533E+00001, 0.28797373582594E+00000, -.10671749817290E+00002, 0.56078518339082E-00003, 0.20362314861025E-00009
0.13498061014100E+00001, 0.56561473719537E-00003, 0.54519862977199E-00003, 0.12437752572849E+00000, 0.12435054294668E+00000, 0.45256112193208E+00000, 0.56561445720535E-00003, 0.56561473719537E-00003, 0.56561455053535E-00003, -.20415920763363E-00004, 0.13349835040987E+00001, 0.10000041942709E+00001, 0.28795546614999E+00000, -.10671750060800E+00002, 0.56561417721533E-00003, 0.37332003089670E-00009
0.13804554983636E+00001, 0.57059647856662E-00003, 0.54771088870542E-00003, 0.12436197581782E+00000, 0.12433379382696E+00000, 0.45654706225049E+00000, 0.57059577382576E-00003, 0.57059647856662E-00003, 0.57059600873934E-00003, -.22885120033919E-00004, 0.13283489503701E+00001, 0.10000043059376E+00001, 0.28793746522213E+00000, -.10671750306421E+00002, 0.57059506908484E-00003, 0.93965451718669E-00009
0.14110998972541E+00001, 0.57573142894528E-00003, 0.55096706865751E-00003, 0.12434633401961E+00000, 0.12431696304920E+00000, 0.46065575860199E+00000, 0.57573037558255E-00003, 0.57573142894528E-00003, 0.57573072670348E-00003, -.24763658045962E-00004, 0.13434163952070E+00001, 0.10000044209506E+00001, 0.28791935678775E+00000, -.10671750554210E+00002, 0.57572932221979E-00003, 0.14044836567669E-00008
0.14417394539207E+00001, 0.58102088519691E-00003, 0.55516878203731E-00003, 0.12433021661687E+00000, 0.12430001834463E+00000, 0.46488785612519E+00000, 0.58101995001247E-00003, 0.58102088519691E-00003, 0.58102026174066E-00003, -.25851479703346E-00004, 0.13639593624593E+00001, 0.10000045355229E+00001, 0.28790069655684E+00000, -.10671750804240E+00002, 0.58101901482802E-00003, 0.12469125936455E-00008
0.14723742987574E+00001, 0.58646822798794E-00003, 0.55979138752767E-00003, 0.12431355887842E+00000, 0.12428294213191E+00000, 0.46924554998682E+00000, 0.58646769926946E-00003, 0.58646822798794E-00003, 0.58646787550894E-00003, -.26676487981272E-00004, 0.13852202177373E+00001, 0.10000046477267E+00001, 0.28788140947089E+00000, -.10671751056584E+00002, 0.58646717055100E-00003, 0.70495797005816E-00009
0.15000000000000E+00001, 0.59152182737598E-00003, 0.56542510981159E-00003, 0.12429830327045E+00000, 0.12426740423375E+00000, 0.47328773683605E+00000, 0.59152155524455E-00003, 0.59152182737598E-00003, 0.59152164595504E-00003, -.26096536143454E-00004, 0.14049255475551E+00001, 0.10000047477642E+00001, 0.28786374470161E+00000, -.10671751286219E+00002, 0.59152128311305E-00003, 0.36284197748006E-00009
0.15028713783741E+00001, 0.59205319036703E-00003, 0.56612323046150E-00003, 0.12429671632719E+00000, 0.12426577968410E+00000, 0.47371275600137E+00000, 0.59205293359999E-00003, 0.59205319036703E-00003, 0.59205301918899E-00003, -.25929788727490E-00004, 0.14070080704854E+00001, 0.10000047581813E+00001, 0.28786190708647E+00000, -.10671751310202E+00002, 0.59205267683301E-00003, 0.34235598240792E-00009
0.15334968113442E+00001, 0.59782804583780E-00003, 0.57445368180634E-00003, 0.12427986272520E+00000, 0.12424831713911E+00000, 0.47833214747391E+00000, 0.59782780096467E-00003, 0.59782804583780E-00003, 0.59782788258906E-00003, -.23374200782728E-00004, 0.14295441156328E+00001, 0.10000048705281E+00001, 0.28784239058346E+00000, -.10671751567383E+00002, 0.59782755609153E-00003, 0.32649750032480E-00009
0.15641170285015E+00001, 0.60377090182131E-00003, 0.58270574891785E-00003, 0.12426312805414E+00000, 0.12423059790222E+00000, 0.48308630066781E+00000, 0.60377036307076E-00003, 0.60377090182131E-00003, 0.60377054265431E-00003, -.21064793736463E-00004, 0.14528341581676E+00001, 0.10000049861480E+00001, 0.28782301049330E+00000, -.10671751827091E+00002, 0.60376982432028E-00003, 0.71833403255485E-00009
0.15947315060013E+00001, 0.60988257963631E-00003, 0.58936986972693E-00003, 0.12424624317172E+00000, 0.12421265225497E+00000, 0.48797515606743E+00000, 0.60988164243437E-00003, 0.60988257963631E-00003, 0.60988195483504E-00003, -.20512085108105E-00004, 0.14767293226698E+00001, 0.10000051044222E+00001, 0.28780345512372E+00000, -.10671752089390E+00002, 0.60988070523243E-00003, 0.12496026041454E-00008
0.16253405493304E+00001, 0.61616444551438E-00003, 0.59500713627243E-00003, 0.12422887452075E+00000, 0.12419452550646E+00000, 0.49299936306064E+00000, 0.61616340552785E-00003, 0.61616444551438E-00003, 0.61616375219004E-00003, -.21156615917605E-00004, 0.15012940571823E+00001, 0.10000052228468E+00001, 0.28778333808701E+00000, -.10671752354358E+00002, 0.61616236554129E-00003, 0.13866487068709E-00008
0.16559443979173E+00001, 0.62262000005889E-00003, 0.60136334625042E-00003, 0.12421095672871E+00000, 0.12417622246588E+00000, 0.49816215941110E+00000, 0.62261933000584E-00003, 0.62262000005889E-00003, 0.62261955335682E-00003, -.21256207106398E-00004, 0.15265631014004E+00001, 0.10000053395598E+00001, 0.28776258354033E+00000, -.10671752622075E+00002, 0.62261865995277E-00003, 0.89340407223283E-00009
0.16865431098725E+00001, 0.62925445839769E-00003, 0.60953582324777E-00003, 0.12419273541715E+00000, 0.12415770130431E+00000, 0.50346821864426E+00000, 0.62925420735615E-00003, 0.62925445839769E-00003, 0.62925429103664E-00003, -.19718467788868E-00004, 0.15525476757581E+00001, 0.10000054552287E+00001, 0.28774147588550E+00000, -.10671752892624E+00002, 0.62925395631456E-00003, 0.33472208530138E-00009
0.17171366570901E+00001, 0.63607166600563E-00003, 0.61850754833801E-00003, 0.12417447745649E+00000, 0.12413891401987E+00000, 0.50892072004399E+00000, 0.63607145948800E-00003, 0.63607166600563E-00003, 0.63607152832719E-00003, -.17563979989184E-00004, 0.15792372461375E+00001, 0.10000055722483E+00001, 0.28772032422301E+00000, -.10671753166084E+00002, 0.63607125297037E-00003, 0.27535680678927E-00009
